photo_id,building_id,unit_id,photo_type,photo_url,caption,source_url,source_last_checked
photo_44,the_blvd_collection,the_blvd_collection-m2_3801,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B6-1.png,The BLVD Collection M2-3801 floorplan,https://verisresidential.com/apartments/m2-3801/,2026-05-28
photo_45,the_blvd_collection,the_blvd_collection-m1_3807,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_A7-1.png,The BLVD Collection M1-3807 floorplan,https://verisresidential.com/apartments/m1-3807/,2026-05-28
photo_46,the_blvd_collection,the_blvd_collection-m2_3201,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B6-1.png,The BLVD Collection M2-3201 floorplan,https://verisresidential.com/apartments/m2-3201/,2026-05-28
photo_47,the_blvd_collection,the_blvd_collection-mn_2008n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A3N-1.png,The BLVD Collection MN-2008N floorplan,https://verisresidential.com/apartments/mn-2008n/,2026-05-28
photo_48,the_blvd_collection,the_blvd_collection-m2_2511,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B8-1.png,The BLVD Collection M2-2511 floorplan,https://verisresidential.com/apartments/m2-2511/,2026-05-28
photo_49,the_blvd_collection,the_blvd_collection-m1_0810,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_A1-1.png,The BLVD Collection M1-0810 floorplan,https://verisresidential.com/apartments/m1-0810/,2026-05-28
photo_50,the_blvd_collection,the_blvd_collection-m2_2402,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_C1-2.png,The BLVD Collection M2-2402 floorplan,https://verisresidential.com/apartments/m2-2402/,2026-05-28
photo_51,the_blvd_collection,the_blvd_collection-m2_3106,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B2-2.png,The BLVD Collection M2-3106 floorplan,https://verisresidential.com/apartments/m2-3106/,2026-05-28
photo_52,the_blvd_collection,the_blvd_collection-m1_3313,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_A10-1.png,The BLVD Collection M1-3313 floorplan,https://verisresidential.com/apartments/m1-3313/,2026-05-28
photo_53,the_blvd_collection,the_blvd_collection-m1_3702,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_B3-1.png,The BLVD Collection M1-3702 floorplan,https://verisresidential.com/apartments/m1-3702/,2026-05-28
photo_54,the_blvd_collection,the_blvd_collection-mn_2103n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A1N-1.png,The BLVD Collection MN-2103N floorplan,https://verisresidential.com/apartments/mn-2103n/,2026-05-28
photo_55,the_blvd_collection,the_blvd_collection-mn_1603n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A1N-1.png,The BLVD Collection MN-1603N floorplan,https://verisresidential.com/apartments/mn-1603n/,2026-05-28
photo_56,the_blvd_collection,the_blvd_collection-ms_3503s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A1S-1.png,The BLVD Collection MS-3503S floorplan,https://verisresidential.com/apartments/ms-3503s/,2026-05-28
photo_57,the_blvd_collection,the_blvd_collection-m1_1505,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_S3-1.png,The BLVD Collection M1-1505 floorplan,https://verisresidential.com/apartments/m1-1505/,2026-05-28
photo_58,the_blvd_collection,the_blvd_collection-m2_1009,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_S3-1.png,The BLVD Collection M2-1009 floorplan,https://verisresidential.com/apartments/m2-1009/,2026-05-28
photo_59,the_blvd_collection,the_blvd_collection-ms_3302s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A2S-2.png,The BLVD Collection MS-3302S floorplan,https://verisresidential.com/apartments/ms-3302s/,2026-05-28
photo_60,the_blvd_collection,the_blvd_collection-mn_3802n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_B4N-1.png,The BLVD Collection MN-3802N floorplan,https://verisresidential.com/apartments/mn-3802n/,2026-05-28
