poi_id,building_id,building_name,poi_type,name,address,distance_meters,lat,lng,google_place_id,rating,user_rating_count,primary_type,source,source_url,source_last_checked,last_updated_at,source_name,updated_by,internal_notes
10_hanover_square_coffee_1,10_hanover_square,10 Hanover Square,coffee,CBXT,"10 Hanover Square, New York, NY 10005, USA",14,40.7044536,-74.0089913,ChIJnVNUeBZawokRWw06mlwrXJ4,4.4,9,health,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_2,10_hanover_square,10 Hanover Square,coffee,Starbucks Coffee Company,"110 Pearl St, New York, NY 10005, USA",21,40.7046000,-74.0091200,ChIJQW9VeBZawokRXXEkUzWfmiQ,3.7,335,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_3,10_hanover_square,10 Hanover Square,coffee,LENWICH,"10 Hanover Square, New York, NY 10005, USA",30,40.7048093,-74.0088201,ChIJnVNUeBZawokR6cnhe7_o7PQ,4.1,246,sandwich_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_4,10_hanover_square,10 Hanover Square,coffee,Best Sicily Bottega,"85 Beaver St, New York, NY 10005, USA",98,40.7054168,-74.0087406,ChIJATp7v95bwokRkvO0TnWh_qU,4.8,312,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_5,10_hanover_square,10 Hanover Square,coffee,Conwell Coffee & Cocktail Hall,"6 Hanover St, New York, NY 10005, USA",101,40.7054353,-74.0091413,ChIJgTMBOPtbwokR1Y0sSidhvqI,4.4,847,cafe,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_6,10_hanover_square,10 Hanover Square,coffee,JOE & THE JUICE,"67 Wall St, New York, NY 10005, USA",133,40.7057099,-74.0085244,ChIJLwbpaRZawokRKM1sp6QXOjE,3.6,579,juice_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_7,10_hanover_square,10 Hanover Square,coffee,La Colombe Coffee Workshop,"67 Wall St, New York, NY 10005, USA",133,40.7057099,-74.0085244,ChIJMwm7aRZawokR9y8LTeJddIc,4.5,595,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_8,10_hanover_square,10 Hanover Square,coffee,Starbucks Coffee Company,"99 Wall St, New York, NY 10005, USA",142,40.7048100,-74.0072300,ChIJmxcFEBZawokRssqAzUb-j7k,3.8,488,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_9,10_hanover_square,10 Hanover Square,coffee,کافه پوریا,"99 Wall St #4330, New York, NY 10005, USA",145,40.7049069,-74.0072365,ChIJdRcXAgBbwokRTnLvfwlayac,,,coffee_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_coffee_10,10_hanover_square,10 Hanover Square,coffee,Bagel Market,"110 Wall St, New York, NY 10005, USA",197,40.7048749,-74.0065836,ChIJzb6WZQBbwokRr09rf0Qt_gQ,4.8,168,bagel_shop,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_subway_1,10_hanover_square,10 Hanover Square,subway,Wall St,"New York, NY 10038, USA",212,40.7064014,-74.0094509,ChIJBzCfVBZawokR6_Qcq-KQA28,4.1,142,subway_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_subway_2,10_hanover_square,10 Hanover Square,subway,Broad St,"New York, NY 10005, USA",279,40.7063239,-74.0112208,ChIJXy7mwhZawokRC_tiZTQds28,4,95,subway_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_subway_3,10_hanover_square,10 Hanover Square,subway,Bowling Green,"New York, NY 10004, USA",454,40.7045170,-74.0142670,ChIJKXQp3BNawokR6gUmnJXw58c,4.3,158,subway_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
10_hanover_square_subway_4,10_hanover_square,10 Hanover Square,subway,Whitehall St-South Ferry,"South St, Whitehall St, New York, NY 10004, USA",464,40.7017398,-74.0129544,ChIJK3VvhRNawokRje7SOro9dA0,4.1,114,subway_station,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_1,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Farmer's Fridge,"Located in the main lobby, 5 E 102nd St, New York, NY 10029, USA",35,40.7915828,-73.9520605,ChIJRbu8pjr3wokRX6tCtaQkzJ8,,,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_2,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Farmer's Fridge,"1470 Madison Ave, New York, NY 10029, USA",63,40.7908993,-73.9520550,ChIJ8xTyMmz3wokRsBtlt2e1DI0,4.2,5,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
