source_id,source_name,source_url,source_type,owner,refresh_cadence,last_synced_at,status,notes
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-1010/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-1505/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-1912/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-2511/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-2808/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3313/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3411/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3702/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3711/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3806/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3807/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m1-3913/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-0606/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-1009/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-1201/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-1707/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-1807/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-1909/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-2402/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-2408/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-2511/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
